,VER,SENTIR,PENSAR,DECIR,HACER
Historias vinetas (12).srt,1.0,1.0,1.0,,
Historias vinetas (14).srt,2.0,,2.0,,
Historias vinetas (2).srt,1.0,1.0,,1.0,
Historias vinetas (22).srt,1.0,,12.0,,
Historias vinetas (27).srt,1.0,2.0,4.0,,
Historias vinetas (6).srt,2.0,,7.0,2.0,1.0
Historias vinetas (8).srt,1.0,,,,
Historias vinetas (15).srt,,1.0,,,
Historias vinetas (17).srt,,4.0,1.0,,
Historias vinetas (4).srt,,4.0,1.0,,
Historias vinetas (13).srt,,,4.0,,
Historias vinetas (18).srt,,,15.0,,
Historias vinetas (19).srt,,,2.0,,
Historias vinetas (20).srt,,,7.0,,
Historias vinetas (21).srt,,,5.0,,
Historias vinetas (23).srt,,,2.0,,1.0
Historias vinetas (24).srt,,,5.0,,
Historias vinetas (25).srt,,,3.0,,
Historias vinetas (3).srt,,,25.0,9.0,3.0
Historias vinetas (30).srt,,,1.0,,
Historias vinetas (37).srt,,,5.0,,
Historias vinetas (42).srt,,,1.0,,
Historias vinetas (9).srt,,,2.0,,2.0
Historias vinetas (5).srt,,,,1.0,
