,5
 "YO",1
 AY QUE MIEDO,1
 NO SABER,1
"AH YA",1
"AH",1
"AHÍ" Ó TRABAJO,1
"SE MALOGRA" O "ESTÁ MAL",1
1, 2, 3, 5,1
1-8-CM,1
1-C-0-CM,1
1.6,1
1.60,2
1.60 C-M,2
1.96,1
1.96 C-M,2
160,1
18.80,1
190,1
2/7,1
5,1
???,2
A ELLA,3
A TREVES,1
A TÍ/ TE,1
A ÉL,1
AAAH,1
AAAH!,1
ABIERTA,2
ABIERTA ABIERTA,1
ABRIGAR,2
ABRIGARSE,1
ABRIGO,6
ABRIR,3
ABURRIDA,2
ABURRIDO,1
ACCIDENTALMENTE,1
ACCIDENTALMENTE( ASL) Ó POR ERROR,1
ACCIDENTALMENTE/ COMETER ERROR,1
ACCIDENTALMENTE/ EQUIVOCAR,1
ACCIDENTE,1
ACCIDENTE/ ATROPELLAR,1
ACCIDENTE/ SUCEDIÓ,1
ACCIÓN/ HACER,1
ACEPTAR,1
ACEPTARON,1
ACERCAR,1
ACERCAR O ENCONTRAR ,1
ACERCARSE,3
ACOMPAÑAN,1
ACORDAR,1
ACUERDOS,1
ADENTRO,10
ADINERADO/ RICO,1
ADIVINA,24
ADIVINA/ BRUJA,8
ADIVINA/BRUJA,2
ADIÓS Ó HOLA,1
AFUERA O SALIR,1
AGARRAR,1
AGUA,2
AGUARDA,1
AGUARDA/ ESPERA,1
AGUARDA/ESPERAR,1
AH,19
AH EXACTO/ CIERTO,1
AH POR AHÍ,1
AH PUES/ AY PUES,1
AH SORPRESA,1
AH SÍ ,1
AH SÍ, HUMMM,1
AH SÍ/ AH YA,1
AH YA,5
AH YA ENTENDÍ,1
AH YA PUES,1
AH YA SÉ,3
AH YA VEO,1
AH YA...SÍ,1
AH YA/ AJÁ,1
AH!,2
AH?,1
AH???,1
AHHH,1
AHI,9
AHI ABAJO,1
AHORA,1
AHÍ,33
AHÍ ,1
AHÍ DOS,1
AHÍ O ELLOS,1
AHÍ/ ESE,1
AHÍ/ ÉL,1
AHÍ? ÉL?,1
AIRE/ VIENTO,2
AJEMMMM,1
AJÁ,1
ALGUNAS VECES,1
ALISTAR,1
ALLA,1
ALLI,1
ALLÁ,12
ALLÁ/ AHÍ,2
ALLÍ,2
ALREDEDOR/ DANDO VUELTAS,1
ALTA,3
ALTO,14
ALTO( ASL),1
ALTURA,1
ALÓ,1
AMA,1
AMABLE,2
AMBOS,7
AMBOS ,1
AMBOS (ASL),1
AMBOS/ JUNTOS,4
AMIGA,6
AMIGA (O),1
AMIGAS,5
AMIGAS (OS),1
AMIGAS(OS),1
AMIGO,12
AMIGO(A),1
AMIGOS,11
AMOR,2
ANDAS,1
ANIMADA,1
ANIMAR/ ALISTARSE,1
ANIMAR/ CONTENTA,1
ANIMAR/ DESEAR,2
ANTES,6
ANTES, PASADO,1
ANTES/ HACE TIEMPO,1
ANTIGUA,1
ANUBLAR/ HUMO DE VISIONES CON BOLA,1
APARECE (ASL),1
APARECER,4
APARTE,1
APOYADA,3
APRENDER,1
APRESURAR/ RÁPIDO,1
ARODILLADO,1
ARRODILLADO,2
ARRODILLAR,1
ARRODILLAR/ POSTRAR,1
ARRODILLARSE/ POSTRARSE,2
ASI FUE,2
ASÍ?,1
ATROPELLA,3
ATRÁS,2
AUTOMOVIL,1
AVERIGUAR,1
AVISAR/ DECIR,1
AY,4
AY NO,1
AY PUES,6
AY PUÉS,2
AYA,1
AYUDAR/COMPARTIR,1
AYUDARME,1
AYY,2
BAJAR,3
BAJAR ESCALERA,2
BAJARON,1
BAJITO,2
BAJO,9
BAJO/ CHATO,3
BAÑARSE,1
BESITO DE SALUDOS,1
BICICLETA,1
BIEN,10
BIEN BIEN BIEN,1
BIEN O BUENO,1
BIEN/ BUENO,1
BIEN? BONITO?,1
BLA BLA BLA,1
BODA,1
BODA / MATRIMONIO,1
BODA/ MATRIMONIO,2
BOLA,5
BOLA ,1
BOLA (DE CRISTAL),1
BOLA DE CRISTAL,7
BOLA(DE CRISTAL),2
BOLA-IMAGEN-verbo,1
BONITA,1
BONITA/BELLA/HERMOSA,3
BONITO,1
BONITO(A),1
BOTAR/FUERA/APARTAR,1
BOTE,12
BOTE NAVEGANDO,1
BRAZO,1
BRAZOS,1
BRILLAR,1
BRUJA,5
BUENO,6
BUENO(A),1
BUENO(ASL),1
BUENO-BUENO,1
BUENO/ BUEN,1
BUENO/ PUES,1
BUSCA,2
BUSCANDO,2
BUSCAR,9
C-?-     P-E-D-R-I,1
C-I-L-M-A,1
C-L,1
C-Y,1
CABE/ MEDIDA,1
CABE/ TAMAÑO/ MEDIDA,1
CABEZA,4
CACHUDO,1
CAE,2
CAE NIEVE,2
CAER,13
CAER/ SE CAE,1
CAERSE,1
CAJA,8
CAJA/ CUARTO,1
CALLADA,1
CALLE,1
CALOR,8
CALOR?,1
CAMA,16
CAMBIADA,1
CAMBIAR,2
CAMBIAR ,1
CAMBIAR DE TEMA,1
CAMBIARSE DE ROPA,1
CAMBIO,1
CAMI------------------,1
CAMINA,1
CAMINA CON MULETAS,1
CAMINAR,52
CAMINAR - SE FUE,1
CAMINAR CON MULETAS,1
CAMINAR JUNTOS,2
CAMINARON,1
