word,freq,,,
SI, SI,,,
SI, SI,,,
ANTES, PASADO,,,
AH SÍ, HUMMM,,,
FUE-con otro, a otro lado,,,
MUJER,102,,,
PENSAR,101,,,
HOMBRE,83,,,
YO,81,3,5,1
CAMINAR,52,,,
DOS,51,,,
NO,48,,,
QUÉ?,40,,,
MAMÁ,39,,,
LUEGO,38,,,
YA,37,,,
TÚ,36,,,
AHÍ,33,,,
CASA,33,,,
SÍ,32,,,
MEJOR,30,,,
OTRA VEZ,30,,,
CASAR,28,,,
ESE,27,,,
OTRO,25,,,
ADIVINA,24,,,
PREGUNTAR,23,,,
ELLA,22,,,
ENTRAR,22,,,
SE FUE,22,,,
QUÉ,21,,,
ÉL,20,,,
AH,19,,,
CORRER,19,,,
FRÍO,19,,,
FUTURO,19,,,
GORDO,19,,,
SEGUNDO,19,,,
ENFERMA,17,,,
SALIR,17,,,
UNO,17,,,
CAMA,16,,,
DIJO,16,,,
GORRO,16,,,
LLAMAR,16,,,
PUES,16,,,
TENER,16,,,
MOCHILA,15,,,
QUERER,15,,,
ALTO,14,,,
DESPUÉS,14,,,
ESCONDER,14,,,
TU,14,,,
CAER,13,,,
DÓNDE,13,,,
EL,13,,,
NOMBRE,13,,,
PERSONA,13,,,
SENTIR,13,,,
TERMINAR,13,,,
ALLÁ,12,,,
AMIGO,12,,,
BOTE,12,,,
CHAU,12,,,
CUIDADO,12,,,
CÓMO,12,,,
DECIR,12,,,
ESPERAR,12,,,
HIJO,12,,,
SABER,12,,,
AMIGOS,11,1,,
DICE,11,,,
ADENTRO,10,,,
BIEN,10,,,
GRANDE,10,,,
LLEGAR,10,,,
OK,10,,,
S-O-F-I-A,10,,,
TROTAR,10,,,
AHI,9,,,
BAJO,9,,,
BUSCAR,9,,,
ESPOSO,9,,,
PIENSO,9,,,
PUÉS,9,,,
VER,9,,,
ADIVINA/ BRUJA,8,,,
CAJA,8,,,
CALOR,8,,,
DINERO,8,,,
ENCONTRAR,8,,,
HUMMM,8,,,
IGUAL,8,,,
NADA MÁS,8,,,
PERO,8,,,
PREGUNTA,8,,,
PRIMERO,8,,,
QUÉ PASÓ?,8,,,
YA SÉ,8,,,
AMBOS,7,,,
BOLA DE CRISTAL,7,,,
DESAPARECER,7,,,
ESE/ ÉL,7,,,
ESPERA,7,,,
ESTE,7,,,
FEBRERO,7,,,
FUERON,7,,,
HABLAR,7,,,
HACER,7,,,
HUMM,7,,,
HUMMM?,7,,,
IR/ SALIR,7,,,
LLUVIA,7,,,
POLICIA,7,,,
TEMA,7,,,
TERCERO,7,,,
TRISTE,7,,,
VAMOS,7,,,
ABRIGO,6,,,
AMIGA,6,,,
ANTES,6,,,
AY PUES,6,,,
BUENO,6,,,
CHICA,6,,,
CORTINAS,6,,,
DIFÍCIL,6,,,
DOLOR,6,,,
DONDE,6,,,
ELLA/ ESA,6,,,
ENTENDER,6,,,
ENTONCES,6,1,,
ESA/ ELLA,6,,,
ESA/ LA,6,,,
J-U-A-N,6,,,
JUGAR,6,,,
MARZO,6,,,
NIÑA,6,,,
OLVIDAR,6,,,
OYE,6,,,
PARAGUAS,6,,,
POR FAVOR,6,,,
POR QUÉ,6,,,
QUEDAR,6,,,
SU,6,,,
VESTIR,6,,,
Ó,6,,,
,5,,,
AH YA,5,,,
AMIGAS,5,,,
BOLA,5,,,
BRUJA,5,,,
CONTAR,5,,,
CUIDAR,5,,,
CUÁL,5,,,
DE ACUERDO,5,,,
DIGO,5,,,
ENFERMAR,5,,,
FIN,5,,,
GUARDAR,5,,,
GUAU,5,,,
HIJA,5,,,
IR,5,,,
LENTES,5,,,
MORIR/ FALLECER,5,,,
NO IMPORTA,5,,,
PAGAR,5,,,
PASA,5,,,
PASEAR,5,,,
PEQUEÑO,5,,,
POR AHÍ,5,,,
PROHIBIDO,5,,,
QUE PASÓ?,5,,,
S-U-E,5,,,
SE CAE,5,,,
SE CAYÓ,5,,,
SOL,5,,,
TODO,5,,,
UN/ UNO,5,,,
VIERON,5,,,
VIÓ/ MIRÓ,5,,,
VOY,5,,,
AMBOS/ JUNTOS,4,,,
APARECER,4,,,
AY,4,,,
CABEZA,4,,,
CORRIENDO,4,,,
CORTINA,4,,,
COSAS,4,,,
CUARTO,4,,,
CÓMO?,4,,,
EL/ ELLA,4,,,
ENERO,4,,,
ENTRÓ,4,,,
ESTUDIAR,4,,,
EXPLICAR,4,,,
FALTA,4,,,
FELIZ,4,,,
FLACO,4,,,
FUE,4,,,
GRACIAS,4,,,
GUSTAR,4,,,
HOLA,4,,,
HUMM?,4,,,
LA/ ELLA,4,,,
LLOVER,4,,,
LUGAR,4,,,
NO SÉ,4,,,
OSCURO,4,,,
PARAGUA,4,,,
PENSAR ,4,,,
PERFECTO,4,,,
PESCANDO,4,,,
PODER,4,,,
PORQUÉ,4,,,
PORQUÉ?,4,,,
PUEDE,4,,,
QUIERO,4,,,
R-A-F-A-E-L,4,,,
SALUDAR/ HOLA,4,,,
SE FUERON,4,,,
SENTAR,4,,,
TAREA,4,,,
UNA,4,,,
VENTANA,4,,,
VIÓ,4,,,
A ELLA,3,,,
ABRIR,3,,,
ACERCARSE,3,,,
AH YA SÉ,3,,,
ALTA,3,,,
APOYADA,3,,,
ATROPELLA,3,,,
BAJAR,3,,,
BAJO/ CHATO,3,,,
BONITA/BELLA/HERMOSA,3,,,
CARA,3,,,
CASARSE,3,,,
CHICO/ PEQUEÑO,3,,,
CON,3,,,
CUANDO,3,,,
DESEAR/QUERER,3,,,
DIFICIL,3,,,
ECHARSE,3,,,
ELLA/ LA,3,,,
ELLOS,3,,,
ENTRAR/ ADENTRO,3,,,
ESA,3,,,
ESCAPAR/ FUGAR,3,,,
ESCONDERSE,3,,,
ESE ,3,,,
ESE/EL,3,,,
FUERTE,3,,,
HABLARON,3,,,
HISTORIA,3,,,
HOMBRES,3,,,
HUMMMMM,3,,,
IDEA,3,,,
IRSE,3,,,
J-O-H-N,3,,,
JUNTOS,3,,,
LA,3,,,
LLAMAR/ OYE,3,,,
MATRIMONIO,3,,,
ME,3,,,
ME/ YO,3,,,
MIRA,3,,,
MIRAR,3,,,
MIRAR/ VER,3,,,
MUCHO,3,,,
MUCHOS,3,,,
MUY BIEN,3,,,
MÍ/ MÍO,3,,,
NADA,3,,,
NADA MÁS/ TERMINAR,3,,,
