,version,ListWords,SequenceLen,LearningRate,Stride,batch_size,accumulated_batch_size,DropOut,BestValAcc,BestValF1-Micro,BestValF1-Macro,BestValLoss,BestTrainAcc,BestTrainF1-Micro,BestTrainF1-Macro,BestTrainLoss,TestAcc,F1-micro,F1-macro,seed,experiment-name
0,gissern34_1,5 words,15,0.0001,1,4,8,0,0.77272725,0.77272725,0.76683766,0.5717231,0.9764706,0.9764706,0.97697365,0.03565429,0.238095238095238,0.2380952388048172,0.2288708686828613,11,summaryGissella34.csv
0,gissern34_2,5 words,15,0.0001,1,4,8,0,0.8181818,0.8181818,0.7966789,0.5021318,0.9882353,0.9882353,0.98867106,0.020893004,0.2976190476190476,0.2976190447807312,0.3024241924285888,21,summaryGissella34.csv
0,gissern34_3,5 words,15,0.0001,1,4,8,0,0.77272725,0.77272725,0.7577778,0.6209951,0.9529412,0.9529412,0.9556744,0.035127766,0.2797619047619047,0.2797619104385376,0.2712193429470062,31,summaryGissella34.csv
0,gissern34_4,5 words,15,1e-05,1,4,8,0,0.6363636,0.6363636,0.5405195,1.29042,0.7176471,0.7176471,0.69348127,0.14561109,0.5178571428571429,0.5178571343421936,0.2377566844224929,11,summaryGissella34.csv
0,gissern34_5,5 words,15,1e-05,1,4,8,0,0.45454547,0.45454547,0.33291924,1.2985293,0.69411767,0.69411767,0.6749728,0.14858711,0.5535714285714286,0.5535714030265808,0.2461486011743545,21,summaryGissella34.csv
0,gissern34_6,5 words,15,1e-05,1,4,8,0,0.5,0.5,0.34345865,1.3193923,0.7647059,0.7647059,0.7390133,0.14419097,0.4702380952380952,0.4702380895614624,0.177581325173378,31,summaryGissella34.csv
0,gissern34_7,5 words,15,1e-06,1,4,8,0,0.27272728,0.27272728,0.19255412,1.5910549,0.3647059,0.3647059,0.21265149,0.19108188,0.5238095238095238,0.523809552192688,0.1824463158845901,11,summaryGissella34.csv
0,gissern34_8,5 words,15,1e-06,1,4,8,0,0.3181818,0.3181818,0.20238096,1.5902839,0.3764706,0.3764706,0.22634709,0.18967308,0.5357142857142857,0.5357142686843872,0.1746837943792343,21,summaryGissella34.csv
0,gissern34_9,5 words,15,1e-06,1,4,8,0,0.3181818,0.3181818,0.16695653,1.6425717,0.3764706,0.3764706,0.2314341,0.18739982,0.5119047619047619,0.511904776096344,0.169189915060997,31,summaryGissella34.csv
0,gissern34_10,5 words,15,0.0001,2,4,8,0,0.8181818,0.8181818,0.8179487,0.649644,0.9529412,0.9529412,0.95567095,0.03988844,0.2857142857142857,0.2857142984867096,0.1996783018112182,11,summaryGissella34.csv
0,gissern34_11,5 words,15,0.0001,2,4,8,0,0.77272725,0.77272725,0.73382175,0.6873367,0.9882353,0.9882353,0.98857147,0.028413484,0.2142857142857142,0.2142857164144516,0.2028810679912567,21,summaryGissella34.csv
0,gissern34_12,5 words,15,0.0001,2,4,8,0,0.6818182,0.6818182,0.6632035,0.74164045,0.91764706,0.91764706,0.92107445,0.048936374,0.2083333333333333,0.2083333283662796,0.1687088906764984,31,summaryGissella34.csv
0,gissern34_13,5 words,15,1e-05,2,4,8,0,0.5,0.5,0.37222224,1.3393781,0.67058825,0.67058825,0.61138004,0.14931428,0.5238095238095238,0.523809552192688,0.1970022171735763,11,summaryGissella34.csv
0,gissern34_14,5 words,15,1e-05,2,4,8,0,0.36363637,0.36363637,0.27028987,1.3625191,0.65882355,0.65882355,0.61406195,0.15011935,0.5238095238095238,0.523809552192688,0.2334036976099014,21,summaryGissella34.csv
0,gissern34_15,5 words,15,1e-05,2,4,8,0,0.4090909,0.4090909,0.2857143,1.3647875,0.69411767,0.69411767,0.6696998,0.145947,0.4702380952380952,0.4702380895614624,0.1638167947530746,31,summaryGissella34.csv
0,gissern34_16,5 words,15,1e-06,2,4,8,0,0.36363637,0.36363637,0.23314288,1.58999,0.3764706,0.3764706,0.24090272,0.19192886,0.4761904761904761,0.4761904776096344,0.1537626683712005,11,summaryGissella34.csv
0,gissern34_17,5 words,15,1e-06,2,4,8,0,0.3181818,0.3181818,0.21333334,1.6109993,0.3882353,0.3882353,0.2636549,0.18974021,0.5238095238095238,0.523809552192688,0.2227554321289062,21,summaryGissella34.csv
0,gissern34_18,5 words,15,1e-06,2,4,8,0,0.3181818,0.3181818,0.16695653,1.6380271,0.4117647,0.4117647,0.28152764,0.18748702,0.4880952380952381,0.488095223903656,0.14940935373306274,31,summaryGissella34.csv
