,ListWords,SequenceLen,LearningRate,Stride,batch_size,accumulated_batch_size,DropOut,BestValAcc,BestValF1-Micro,BestValF1-Macro,BestValLoss,BestTrainAcc,BestTrainF1-Micro,BestTrainF1-Macro,BestTrainLoss,TestAcc,seed
0,5 words,10,1.00E-06,2,4,8,0,0.3478261,0.3478261,0.26666665,1.5436313,0.36263737,0.36263737,0.271483,0.19116673,0.231343284,11
0,5 words,10,1.00E-06,1,4,8,0,0.3043478,0.3043478,0.1657143,1.5525846,0.3846154,0.3846154,0.27894112,0.1911118,0.589552239,11
0,5 words,10,1.00E-05,2,4,8,0,0.5217391,0.5217391,0.5203463,1.28652,0.6703297,0.6703297,0.67200226,0.14790644,0.611940299,11
0,5 words,10,1.00E-05,1,4,8,0,0.5652174,0.5652174,0.55365086,1.2330979,0.7032967,0.7032967,0.712219,0.14351764,0.589552239,11
0,5 words,10,0.0001,2,4,8,0,0.9130435,0.9130435,0.9123932,0.29240167,1,1,1,0.020054147,0.537313433,11
0,5 words,10,0.0001,1,4,8,0,0.8695652,0.8695652,0.86715513,0.3999349,1,1,1,0.012679514,0.246268657,11
0,5 words,10,1.00E-06,2,4,8,0,0.3043478,0.3043478,0.24761906,1.5415176,0.35164836,0.35164836,0.27304316,0.19142336,0.350746269,21
0,5 words,10,1.00E-06,1,4,8,0,0.26086956,0.26086956,0.24502164,1.5215442,0.32967034,0.32967034,0.2621555,0.19188648,0.574626866,21
0,5 words,10,1.00E-05,2,4,8,0,0.6086956,0.6086956,0.6215141,1.2520173,0.6703297,0.6703297,0.6705419,0.1478856,0.52238806,21
0,5 words,10,1.00E-05,1,4,8,0,0.6956522,0.6956522,0.71470755,1.1834705,0.7032967,0.7032967,0.70945215,0.14385793,0.507462687,21
0,5 words,10,0.0001,2,4,8,0,0.82608694,0.826087,0.82813185,0.4554608,0.978022,0.978022,0.978656,0.034016225,0.47761194,21
0,5 words,10,0.0001,1,4,8,0,0.9130435,0.9130435,0.9123932,0.35136706,1,1,1,0.01509709,0.223880597,21
0,5 words,10,1.00E-06,2,4,8,0,0.26086956,0.26086956,0.21555556,1.586417,0.32967034,0.32967034,0.27465254,0.1918179,0.320895522,31
0,5 words,10,1.00E-06,1,4,8,0,0.3043478,0.3043478,0.24849623,1.5946219,0.35164836,0.35164836,0.31923655,0.19086318,0.574626866,31
0,5 words,10,1.00E-05,2,4,8,0,0.5217391,0.5217391,0.46373624,1.3404279,0.6703297,0.6703297,0.6777629,0.14734693,0.52238806,31
0,5 words,10,1.00E-05,1,4,8,0,0.5217391,0.5217391,0.46373624,1.2704351,0.71428573,0.7142857,0.7318769,0.14108142,0.507462687,31
0,5 words,10,0.0001,2,4,8,0,0.8695652,0.8695652,0.86715513,0.47330773,0.989011,0.989011,0.98867106,0.02946904,0.47761194,31
