,ListWords,SequenceLen,LearningRate,Stride,batch_size,accumulated_batch_size,DropOut,BestValAcc,BestValF1-Micro,BestValF1-Macro,BestValLoss,BestTrainAcc,BestTrainF1-Micro,BestTrainF1-Macro,BestTrainLoss,TestAcc,seed
0,5 words,15,1e-06,2,4,8,0,0.3809524,0.3809524,0.23714286,1.5522316,0.3690476,0.3690476,0.26554605,0.19052856,0.5821917808219178,21
0,5 words,15,1e-06,1,4,8,0,0.3809524,0.3809524,0.24266666,1.5133275,0.35714287,0.35714284,0.24343745,0.19025902,0.5205479452054794,21
0,5 words,15,1e-05,2,4,8,0,0.42857143,0.42857143,0.30714285,1.2902856,0.70238096,0.70238096,0.6635535,0.14672348,0.5753424657534246,21
0,5 words,15,1e-05,1,4,8,0,0.47619048,0.47619048,0.35809523,1.2290092,0.72619045,0.72619045,0.70841575,0.1447503,0.5342465753424658,21
0,5 words,15,0.0001,2,4,8,0,0.7619048,0.7619048,0.75047624,0.65881747,0.97619045,0.97619045,0.97704494,0.034936335,0.1917808219178082,21
0,5 words,15,0.0001,1,4,8,0,0.8095238,0.8095238,0.77587306,0.4792373,0.97619045,0.97619045,0.97697365,0.030554235,0.2671232876712329,21
0,5 words,15,1e-06,2,4,8,0,0.3809524,0.3809524,0.19323672,1.5840682,0.39285713,0.3928571,0.28022224,0.18523821,0.5616438356164384,31
0,5 words,15,1e-06,1,4,8,0,0.33333334,0.33333334,0.15314287,1.5942762,0.39285713,0.3928571,0.28022224,0.18697982,0.5821917808219178,31
0,5 words,15,1e-05,2,4,8,0,0.3809524,0.3809524,0.187013,1.309408,0.70238096,0.70238096,0.6918726,0.14558753,0.5616438356164384,31
0,5 words,15,1e-05,1,4,8,0,0.42857143,0.42857143,0.30095237,1.2960274,0.77380955,0.77380955,0.7456507,0.14165586,0.5821917808219178,31
0,5 words,15,0.0001,2,4,8,0,0.71428573,0.7142857,0.6971429,0.67482775,0.9404762,0.9404762,0.94524676,0.035778347,0.2191780821917808,31
0,5 words,15,0.0001,1,4,8,0,0.7619048,0.7619048,0.73111117,0.60678923,0.96428573,0.9642857,0.9624625,0.02596172,0.2945205479452055,31
0,5 words,15,1e-06,2,4,8,0,0.3809524,0.3809524,0.23434782,1.532619,0.3690476,0.3690476,0.23906298,0.19293211,0.5753424657534246,11
0,5 words,15,1e-06,1,4,8,0,0.2857143,0.2857143,0.18701297,1.5387735,0.33333334,0.33333334,0.18165633,0.19051313,0.589041095890411,11
0,5 words,15,1e-05,2,4,8,0,0.52380955,0.52380955,0.38006538,1.2948935,0.6666667,0.6666667,0.61952895,0.15135124,0.5068493150684932,11
0,5 words,15,1e-05,1,4,8,0,0.6666667,0.6666667,0.5436508,1.2645484,0.7380952,0.7380952,0.69535726,0.1459954,0.4657534246575342,11
0,5 words,15,0.0001,2,4,8,0,0.7619048,0.7619048,0.77350426,0.6297314,0.97619045,0.97619045,0.9784394,0.032280043,0.2876712328767123,11
0,5 words,15,0.0001,1,4,8,0,0.7619048,0.7619048,0.73111117,0.5357634,0.96428573,0.9642857,0.9683889,0.025656765,0.2671232876712329,11
0,5 words,15,1e-06,2,4,8,0,0.42857143,0.42857143,0.32478994,1.517351,0.41666666,0.41666666,0.32600728,0.18555851,0.3835616438356164,41
0,5 words,15,1e-06,1,4,8,0,0.2857143,0.2857143,0.14444445,1.4983591,0.3809524,0.3809524,0.2927657,0.18673378,0.3835616438356164,41
0,5 words,15,1e-05,2,4,8,0,0.5714286,0.5714286,0.47063494,1.2719718,0.71428573,0.7142857,0.687873,0.144864,0.3493150684931507,41
0,5 words,15,1e-05,1,4,8,0,0.61904764,0.61904764,0.5313353,1.2235928,0.75,0.75,0.72522867,0.14202367,0.3424657534246575,41
0,5 words,15,0.0001,2,4,8,0,0.7619048,0.7619048,0.7777778,0.73162913,0.96428573,0.9642857,0.9668647,0.03351054,0.2602739726027397,41
0,5 words,15,0.0001,1,4,8,0,0.71428573,0.7142857,0.7020202,0.5617899,0.96428573,0.9642857,0.9686403,0.026843047,0.1575342465753424,41
0,5 words,10,1e-06,2,4,8,0,0.33333334,0.33333334,0.22933334,1.4858198,0.3690476,0.3690476,0.23589745,0.18913335,0.6575342465753424,41
0,5 words,10,1e-06,1,4,8,0,0.33333334,0.33333334,0.22933334,1.518142,0.3690476,0.3690476,0.25398552,0.18721509,0.6438356164383562,41
0,5 words,10,1e-05,2,4,8,0,0.5714286,0.5714286,0.5041559,1.2199782,0.72619045,0.72619045,0.71044296,0.14491358,0.5136986301369864,41
0,5 words,10,1e-05,1,4,8,0,0.5714286,0.5714286,0.4786325,1.2373576,0.77380955,0.77380955,0.7503342,0.13700226,0.4931506849315068,41
0,5 words,10,0.0001,2,4,8,0,0.7619048,0.7619048,0.7777778,0.56562316,0.9880952,0.9880952,0.98857147,0.027961822,0.3493150684931507,41
0,5 words,10,0.0001,1,4,8,0,0.8095238,0.8095238,0.7790599,0.46894372,0.9880952,0.9880952,0.9900304,0.022262696,0.2945205479452055,41
